iter	Passed	Remaining
0	11	14135
1	21	13120
2	32	13130
3	42	12640
4	52	12563
5	62	12509
6	68	11660
7	73	10901
8	82	10943
9	92	10986
10	97	10585
11	106	10512
12	116	10632
13	127	10809
14	132	10440
15	142	10573
16	152	10597
17	161	10617
18	171	10631
19	180	10672
20	190	10713
21	201	10785
22	211	10814
23	219	10763
24	230	10830
25	239	10804
26	246	10722
27	255	10710
28	262	10599
29	271	10593
30	281	10626
31	290	10615
32	300	10611
33	302	10390
34	312	10401
35	322	10417
36	332	10440
37	341	10429
38	349	10407
39	357	10369
40	367	10379
41	377	10396
42	386	10388
43	395	10379
44	404	10372
45	413	10370
46	421	10328
47	431	10351
48	442	10394
49	453	10438
50	464	10463
51	474	10484
52	484	10492
53	495	10520
54	506	10549
55	516	10559
56	527	10580
57	537	10578
58	545	10554
59	554	10543
60	564	10547
61	575	10567
62	579	10460
63	590	10478
64	601	10501
65	611	10507
66	623	10536
67	632	10528
68	642	10532
69	653	10547
70	656	10445
71	666	10442
72	677	10453
73	687	10463
74	698	10473
75	708	10479
76	718	10478
77	727	10462
78	730	10365
79	740	10365
80	750	10363
81	759	10355
82	768	10337
83	778	10342
84	788	10341
85	797	10334
86	806	10314
87	815	10307
88	825	10302
89	835	10300
90	845	10308
91	855	10303
92	865	10302
93	875	10306
94	885	10304
95	892	10265
96	902	10256
97	909	10232
98	921	10243
99	931	10250
100	941	10239
101	945	10180
102	955	10171
103	965	10170
104	974	10160
105	983	10150
106	992	10133
107	1001	10126
108	1011	10124
109	1022	10127
110	1030	10111
111	1040	10105
112	1051	10112
113	1061	10107
114	1071	10106
115	1080	10098
116	1086	10052
117	1094	10039
118	1104	10035
119	1115	10039
120	1125	10035
121	1134	10022
122	1143	10012
123	1153	10009
124	1163	10010
125	1174	10010
126	1184	10007
127	1194	10005
128	1205	10010
129	1219	10033
130	1230	10039
131	1241	10041
132	1252	10048
133	1263	10050
134	1273	10048
135	1281	10028
136	1285	9977
137	1295	9968
138	1304	9956
139	1313	9942
140	1322	9931
141	1333	9933
142	1342	9925
143	1353	9923
144	1362	9913
145	1373	9916
146	1384	9914
147	1393	9907
148	1403	9903
149	1414	9898
150	1422	9884
151	1431	9870
152	1442	9869
153	1452	9863
154	1461	9854
155	1471	9845
156	1480	9835
157	1491	9833
158	1501	9827
159	1510	9815
160	1520	9809
161	1531	9812
162	1542	9810
163	1552	9807
164	1563	9805
165	1568	9767
166	1578	9763
167	1589	9765
168	1600	9762
169	1609	9754
170	1619	9748
171	1631	9749
172	1641	9746
173	1647	9716
174	1658	9715
175	1669	9711
176	1679	9704
177	1687	9689
178	1699	9691
179	1709	9685
180	1721	9690
181	1732	9688
182	1742	9681
183	1752	9676
184	1762	9667
185	1771	9658
186	1782	9654
187	1793	9653
188	1803	9646
189	1813	9641
190	1823	9633
191	1834	9629
192	1844	9622
193	1853	9609
194	1862	9598
195	1871	9587
196	1882	9586
197	1893	9581
198	1903	9577
199	1913	9565
200	1922	9554
201	1925	9515
202	1935	9505
203	1944	9495
204	1954	9486
205	1965	9482
206	1975	9476
207	1985	9470
208	1996	9464
209	2007	9461
210	2018	9459
211	2029	9460
212	2040	9455
213	2051	9453
214	2061	9446
215	2071	9437
216	2082	9434
217	2092	9427
218	2103	9420
219	2113	9414
220	2124	9410
221	2136	9411
222	2146	9403
223	2155	9393
224	2165	9385
225	2177	9382
226	2186	9373
227	2197	9368
228	2206	9357
229	2217	9350
230	2226	9341
231	2237	9334
232	2248	9330
233	2258	9323
234	2268	9313
235	2278	9305
236	2288	9300
237	2299	9294
238	2309	9285
239	2318	9274
240	2328	9266
241	2338	9256
242	2348	9250
243	2358	9241
244	2367	9230
245	2378	9223
246	2388	9216
247	2399	9212
248	2409	9201
249	2418	9190
250	2429	9185
251	2440	9180
252	2450	9173
253	2461	9165
254	2472	9162
255	2482	9155
256	2492	9145
257	2502	9135
258	2514	9134
