iter	Accuracy	Logloss
0	0.7833094088	0.6657640542
1	0.7871590761	0.6409730363
2	0.7848753752	0.6195740955
3	0.7888555396	0.6006335034
4	0.7860498499	0.5850860105
5	0.7865065901	0.5692967217
6	0.7888555396	0.5569665705
7	0.7873548219	0.5450759356
8	0.7883335508	0.5340858561
9	0.7880073078	0.5245215945
10	0.788137805	0.5163663018
11	0.789442777	0.5081749866
12	0.7897037714	0.5017671525
13	0.7916612293	0.4947810895
14	0.7908129975	0.4897806323
15	0.7923789639	0.4843746981
16	0.7929009526	0.4797233886
17	0.7937491844	0.4749763695
18	0.7962286311	0.470557057
19	0.7977293488	0.4664633526
20	0.7984470834	0.4630029421
21	0.7985775806	0.4597301875
22	0.7990995694	0.4569926323
23	0.7995563095	0.4541421053
24	0.7997520553	0.4515288751
25	0.7999478011	0.4495120658
26	0.8004045413	0.4472132305
27	0.8006002871	0.4453867998
28	0.8017095132	0.444131932
29	0.8015137675	0.4424058338
30	0.8028187394	0.4405704309
31	0.803536474	0.4388833393
32	0.8042542085	0.4377142086
33	0.8039932141	0.4373590299
34	0.803862717	0.4360338301
35	0.8036669712	0.4348926152
36	0.8046457001	0.4338994494
37	0.8041237113	0.4331360124
38	0.8046457001	0.4322690397
39	0.8052981861	0.4312539975
40	0.8062116664	0.4303396249
41	0.806276915	0.4297070623
42	0.8063421636	0.4292032556
43	0.8065379094	0.4286677728
44	0.8067336552	0.4276234555
45	0.8069946496	0.4270180811
46	0.8081691244	0.4263906245
47	0.8090173561	0.4254323164
48	0.8086258645	0.4249100483
49	0.8090173561	0.424297128
50	0.8092783505	0.4235899404
51	0.8092783505	0.4233283994
52	0.8094088477	0.4230572853
53	0.8098003393	0.422612233
54	0.8099308365	0.4220961074
55	0.8100613337	0.4216193793
56	0.8096045935	0.4214070319
57	0.8102570795	0.4208139416
58	0.8103875767	0.4204020695
59	0.8106485711	0.419949193
60	0.8107138197	0.4196808026
61	0.8105833225	0.4191270739
62	0.8106485711	0.4191139005
63	0.8111705598	0.4186734844
64	0.810974814	0.4182184738
65	0.8114315542	0.4178500304
66	0.8110400626	0.4177428934
67	0.8114315542	0.417631579
68	0.8114968028	0.4173891032
69	0.8116925486	0.4168455267
70	0.8115620514	0.4168411597
71	0.8120840402	0.4164545108
72	0.8121492888	0.4160893274
73	0.8120187916	0.4157793836
74	0.8126712776	0.4151759797
75	0.8133237635	0.4148000141
76	0.8133237635	0.414598782
77	0.8132585149	0.4144488101
78	0.8133237635	0.4144460158
79	0.8135195093	0.4140528648
80	0.8139762495	0.4138576443
81	0.8146287355	0.4134218371
82	0.8148244813	0.4130530312
83	0.8145634869	0.41275052
84	0.8146287355	0.4126075432
85	0.8146939841	0.4124674157
86	0.8145634869	0.4122902314
87	0.8148897299	0.4119315066
88	0.8152159729	0.4114534965
89	0.8163904476	0.4112215987
90	0.8162599504	0.410815715
91	0.8167819392	0.4103852293
92	0.816977685	0.4100920319
93	0.8177606681	0.4097185515
94	0.8178259167	0.4094910295
95	0.8176954195	0.4094138451
96	0.8178259167	0.4089316045
97	0.8177606681	0.4088219224
98	0.8179564139	0.4086274514
99	0.8184131541	0.4080863676
100	0.8189351429	0.4078613266
101	0.8189351429	0.4078577869
102	0.8186088999	0.4076184717
103	0.8183479055	0.4073719636
104	0.8185436513	0.4070012714
105	0.8185436513	0.406716657
106	0.8190656401	0.4064703892
107	0.8189351429	0.4063563821
108	0.8199138719	0.4058278399
109	0.8198486233	0.4056818966
110	0.820044369	0.4055802516
111	0.8201748662	0.4053271348
112	0.8202401148	0.4050369006
113	0.8204358606	0.4049388645
114	0.8202401148	0.4047334413
115	0.8204358606	0.4045733285
116	0.820370612	0.4045520628
117	0.8204358606	0.4042756513
118	0.8207621036	0.4039301766
119	0.8210883466	0.4036705716
120	0.8211535952	0.4035727204
121	0.8212840924	0.4034284609
122	0.8214798382	0.403250405
123	0.8218713298	0.4028863725
124	0.8218713298	0.4026228304
125	0.8220670756	0.402295042
126	0.8225238157	0.4020417548
127	0.8228500587	0.4017533843
128	0.8230458045	0.4015120896
129	0.8231763017	0.4013827737
130	0.8231110531	0.4012100312
131	0.8233067989	0.4010004676
132	0.8232415503	0.4006403892
133	0.8235677933	0.400351101
134	0.8234372961	0.4002093324
135	0.8239592849	0.4000723337
136	0.8239592849	0.4000710406
137	0.8237635391	0.3997823428
138	0.8238287877	0.3996258404
139	0.8240245335	0.399537034
140	0.8240245335	0.3992919531
141	0.8240897821	0.3989967488
142	0.824742268	0.3986546153
143	0.825394754	0.398237291
144	0.8258514942	0.3978424318
145	0.8262429858	0.3975700501
146	0.826373483	0.397464241
147	0.8265692288	0.3970289619
148	0.8269607203	0.3966496103
