iter	Passed	Remaining
0	11	14228
1	21	13092
2	33	13290
3	41	12521
4	52	12566
5	62	12527
6	69	11811
7	74	11030
8	84	11210
9	96	11490
10	102	11052
11	112	11115
12	123	11239
13	133	11341
14	139	10991
15	152	11313
16	162	11330
17	173	11383
18	182	11368
19	192	11381
20	203	11437
21	215	11526
22	225	11548
23	236	11566
24	247	11638
25	257	11621
26	266	11588
27	277	11620
28	285	11517
29	296	11549
30	307	11592
31	318	11639
32	329	11648
33	332	11404
34	345	11486
35	356	11531
36	367	11548
37	378	11580
38	387	11549
39	396	11496
40	407	11511
41	416	11483
42	426	11470
43	436	11480
44	447	11486
45	457	11484
46	465	11430
47	477	11452
48	489	11487
49	500	11520
50	511	11532
51	521	11507
52	531	11499
53	542	11523
54	552	11511
55	563	11514
56	575	11534
57	585	11521
58	594	11491
59	603	11466
60	613	11463
61	623	11449
62	627	11323
63	638	11327
64	648	11315
65	657	11292
66	668	11300
67	679	11313
68	689	11297
69	699	11299
70	704	11196
71	714	11186
72	725	11203
73	735	11193
74	745	11187
75	755	11179
76	766	11176
77	776	11165
78	780	11080
79	791	11086
80	802	11090
81	813	11089
82	822	11073
83	834	11081
84	845	11085
85	855	11078
86	863	11051
87	873	11037
88	883	11034
89	894	11026
90	904	11022
91	915	11021
92	925	11020
93	935	11008
94	945	11000
95	952	10959
96	963	10951
97	972	10935
98	983	10940
99	994	10941
100	1004	10931
101	1009	10870
102	1020	10867
103	1030	10861
104	1041	10858
105	1053	10874
106	1063	10865
107	1076	10882
108	1089	10905
109	1103	10936
110	1114	10934
111	1126	10940
112	1138	10954
113	1149	10948
114	1159	10943
115	1169	10931
116	1175	10882
117	1186	10875
118	1196	10871
119	1208	10875
120	1219	10871
121	1230	10869
122	1241	10867
123	1250	10853
124	1261	10846
125	1272	10847
126	1283	10840
127	1295	10846
128	1306	10844
129	1316	10839
130	1327	10831
131	1337	10818
132	1348	10818
133	1359	10815
134	1370	10814
135	1379	10796
136	1384	10740
137	1395	10736
138	1405	10730
139	1415	10718
140	1425	10710
141	1437	10711
142	1448	10708
143	1460	10707
144	1471	10703
145	1483	10709
146	1493	10697
147	1504	10693
148	1514	10680
149	1524	10674
150	1535	10668
151	1545	10658
152	1559	10669
153	1571	10672
154	1581	10662
155	1590	10642
156	1601	10639
157	1613	10640
158	1623	10629
159	1633	10614
160	1643	10608
161	1654	10600
162	1665	10593
163	1675	10586
164	1685	10572
165	1690	10531
166	1701	10523
167	1711	10511
168	1721	10503
169	1730	10487
170	1741	10480
171	1751	10468
172	1761	10458
173	1767	10419
174	1777	10410
175	1787	10398
176	1797	10387
177	1806	10373
178	1819	10376
179	1832	10382
180	1843	10379
181	1854	10372
182	1865	10366
183	1876	10360
184	1887	10356
185	1898	10348
186	1907	10333
187	1918	10326
188	1929	10319
189	1940	10314
190	1950	10303
191	1960	10293
192	1971	10287
193	1982	10281
194	1992	10268
195	2001	10254
196	2012	10247
197	2023	10239
198	2033	10230
199	2043	10217
200	2054	10208
201	2057	10165
202	2066	10150
203	2076	10138
204	2086	10125
205	2096	10117
206	2107	10111
207	2120	10112
208	2132	10110
209	2142	10102
210	2153	10094
211	2163	10084
212	2174	10078
213	2186	10072
214	2197	10066
215	2208	10061
216	2219	10054
217	2230	10046
218	2241	10040
219	2252	10034
220	2263	10026
221	2275	10023
222	2286	10015
223	2295	10000
224	2305	9989
225	2316	9983
226	2327	9975
227	2338	9968
228	2348	9957
229	2359	9951
230	2370	9944
231	2381	9937
232	2391	9926
233	2402	9918
234	2413	9911
235	2424	9904
236	2435	9896
237	2446	9888
238	2456	9875
239	2465	9863
240	2476	9854
241	2486	9843
242	2496	9833
243	2507	9823
244	2517	9812
245	2528	9804
246	2540	9800
247	2550	9792
248	2561	9781
249	2571	9771
250	2581	9761
251	2593	9756
252	2605	9752
253	2616	9743
254	2628	9739
255	2640	9736
256	2650	9725
257	2661	9715
258	2672	9708
259	2684	9704
260	2695	9697
261	2706	9688
262	2717	9681
263	2726	9667
264	2736	9655
265	2746	9643
266	2757	9634
267	2767	9625
268	2777	9614
269	2788	9603
270	2797	9589
271	2810	9587
272	2819	9575
273	2831	9568
274	2843	9563
275	2852	9549
276	2864	9545
277	2877	9542
278	2888	9534
279	2900	9529
280	2911	9523
281	2924	9520
282	2935	9513
283	2946	9502
284	2956	9492
285	2967	9482
286	2975	9466
287	2985	9453
288	2995	9442
289	3005	9432
290	3017	9427
291	3028	9416
292	3039	9408
293	3050	9399
294	3060	9389
295	3072	9382
296	3083	9376
297	3095	9368
298	3105	9358
299	3116	9349
300	3128	9343
301	3139	9335
302	3149	9324
303	3159	9313
304	3170	9304
305	3181	9296
306	3193	9290
307	3205	9284
308	3219	9282
309	3233	9282
310	3245	9276
311	3256	9267
312	3268	9261
313	3279	9254
314	3290	9243
315	3301	9235
316	3312	9227
317	3324	9220
318	3335	9211
319	3346	9202
320	3358	9196
321	3369	9186
322	3382	9182
323	3393	9176
324	3405	9169
325	3414	9154
326	3425	9145
327	3437	9139
328	3449	9131
329	3461	9124
330	3472	9116
331	3483	9106
332	3495	9100
333	3506	9091
334	3517	9083
335	3529	9074
336	3541	9068
337	3551	9058
338	3562	9047
339	3572	9035
340	3582	9024
341	3595	9019
342	3606	9011
343	3618	9003
344	3630	8997
345	3642	8989
346	3653	8982
347	3665	8975
348	3677	8967
349	3689	8959
350	3700	8950
351	3712	8942
352	3722	8931
353	3733	8922
354	3744	8913
355	3756	8905
356	3766	8893
357	3777	8884
358	3788	8876
359	3800	8868
360	3812	8859
361	3822	8849
362	3832	8838
363	3844	8829
364	3855	8818
365	3864	8805
366	3873	8791
367	3884	8783
368	3896	8774
369	3907	8764
370	3917	8753
371	3928	8743
372	3938	8733
373	3951	8727
374	3964	8721
375	3975	8712
376	3986	8703
377	3997	8693
378	4009	8685
379	4021	8678
380	4032	8668
381	4043	8659
382	4055	8650
383	4067	8642
384	4077	8632
385	4088	8622
386	4099	8612
387	4110	8601
388	4120	8589
389	4131	8580
390	4142	8571
391	4153	8560
392	4164	8552
393	4175	8542
394	4186	8532
395	4198	8524
396	4209	8514
397	4220	8505
398	4233	8497
399	4244	8488
400	4255	8480
401	4267	8472
402	4278	8461
403	4299	8471
404	4327	8495
405	4340	8489
406	4351	8479
407	4362	8468
408	4371	8454
409	4382	8443
410	4394	8435
411	4405	8426
412	4416	8415
413	4426	8404
414	4437	8393
415	4449	8384
416	4460	8375
417	4472	8367
418	4484	8359
419	4494	8346
420	4504	8335
421	4517	8328
422	4526	8315
423	4536	8302
424	4545	8288
425	4557	8281
426	4569	8272
427	4580	8261
428	4590	8250
429	4601	8239
430	4610	8225
431	4620	8213
432	4630	8202
433	4641	8192
434	4651	8181
435	4663	8170
436	4674	8161
437	4684	8148
438	4695	8138
439	4705	8127
440	4715	8115
441	4724	8102
442	4735	8091
443	4746	8082
444	4757	8071
445	4768	8061
446	4778	8049
447	4789	8038
448	4799	8028
449	4809	8015
450	4819	8004
451	4832	7997
452	4843	7986
453	4853	7974
454	4864	7965
455	4875	7954
456	4886	7944
457	4896	7932
458	4906	7921
459	4917	7911
460	4929	7901
461	4940	7892
462	4951	7881
463	4963	7873
464	4973	7861
465	4985	7852
466	4995	7840
467	5005	7829
468	5016	7818
469	5027	7808
470	5038	7798
471	5049	7788
472	5060	7777
473	5070	7766
474	5082	7757
475	5092	7745
476	5103	7735
477	5113	7724
478	5125	7714
479	5136	7705
480	5147	7693
481	5157	7682
482	5167	7670
483	5177	7658
484	5186	7646
485	5196	7633
486	5206	7622
487	5217	7613
488	5227	7601
489	5237	7589
490	5248	7579
491	5258	7567
492	5269	7556
493	5279	7545
494	5289	7533
495	5301	7524
496	5312	7514
497	5323	7504
498	5334	7494
499	5344	7482
500	5357	7475
501	5370	7466
502	5381	7456
503	5392	7446
504	5402	7435
505	5414	7426
506	5427	7418
507	5439	7409
508	5451	7400
509	5462	7390
510	5474	7380
511	5485	7371
512	5497	7361
513	5508	7351
514	5519	7341
515	5531	7332
516	5542	7321
517	5553	7311
518	5563	7300
519	5573	7288
520	5585	7279
521	5597	7270
522	5608	7259
523	5617	7246
524	5628	7236
525	5639	7226
526	5650	7216
527	5661	7205
528	5674	7197
529	5684	7186
530	5696	7176
531	5707	7166
532	5719	7156
533	5730	7147
534	5741	7137
535	5751	7125
536	5763	7115
537	5773	7104
538	5784	7093
539	5794	7081
540	5803	7069
541	5816	7061
542	5827	7050
543	5836	7038
544	5846	7026
545	5856	7015
546	5867	7004
547	5878	6993
548	5890	6984
549	5901	6974
550	5911	6963
551	5922	6952
552	5932	6940
553	5943	6929
554	5953	6918
555	5963	6907
556	5973	6896
557	5984	6884
558	5994	6873
559	6005	6863
560	6015	6852
561	6025	6840
562	6035	6828
563	6046	6818
564	6056	6806
565	6067	6795
566	6078	6786
567	6088	6774
568	6101	6766
569	6113	6756
570	6126	6748
571	6139	6740
572	6149	6729
573	6159	6717
574	6168	6705
575	6180	6695
576	6193	6687
577	6204	6676
578	6216	6667
579	6228	6658
580	6239	6647
581	6249	6636
582	6261	6626
583	6272	6616
584	6281	6603
585	6292	6592
586	6302	6581
587	6313	6570
588	6323	6559
589	6333	6548
590	6343	6537
591	6353	6525
592	6365	6516
593	6377	6506
594	6388	6495
595	6399	6485
596	6412	6476
597	6423	6466
598	6434	6456
599	6444	6444
600	6454	6432
601	6465	6422
602	6475	6411
603	6487	6401
604	6497	6389
605	6509	6380
606	6519	6369
607	6530	6358
608	6540	6347
609	6551	6336
610	6562	6326
611	6575	6317
612	6586	6307
613	6597	6297
614	6609	6287
615	6621	6277
616	6632	6267
617	6643	6256
618	6654	6245
619	6666	6236
620	6678	6226
621	6688	6215
622	6699	6205
623	6710	6194
624	6720	6183
625	6731	6172
626	6742	6161
627	6752	6150
628	6764	6140
629	6775	6129
630	6785	6119
631	6797	6108
632	6807	6097
633	6817	6086
634	6828	6075
635	6837	6063
636	6848	6053
637	6861	6043
638	6871	6032
639	6881	6021
640	6890	6009
641	6899	5996
642	6911	5987
643	6922	5976
644	6933	5965
645	6944	5955
646	6955	5945
647	6965	5933
648	6977	5923
649	6990	5914
650	7001	5904
651	7015	5896
652	7027	5886
653	7038	5876
654	7047	5864
655	7058	5853
656	7069	5842
657	7079	5831
658	7090	5821
659	7101	5810
660	7110	5797
661	7121	5787
662	7132	5777
663	7143	5766
664	7153	5755
665	7164	5744
666	7177	5735
667	7188	5725
668	7199	5714
669	7209	5703
670	7219	5691
671	7228	5679
672	7239	5668
673	7249	5657
674	7259	5645
675	7269	5634
676	7280	5624
677	7291	5614
678	7303	5603
679	7315	5594
680	7326	5583
681	7337	5573
682	7347	5561
683	7358	5551
684	7368	5539
685	7378	5528
686	7389	5517
687	7400	5507
688	7410	5496
689	7421	5485
690	7432	5474
691	7443	5464
692	7455	5454
693	7465	5443
694	7477	5433
695	7489	5423
696	7501	5413
697	7512	5402
698	7522	5391
699	7534	5381
700	7545	5371
701	7556	5360
702	7566	5349
703	7579	5340
704	7590	5329
705	7603	5320
706	7615	5310
707	7626	5299
708	7639	5290
709	7651	5280
710	7661	5269
711	7673	5259
712	7685	5249
713	7695	5238
714	7705	5226
715	7715	5215
716	7726	5204
717	7738	5195
718	7749	5184
719	7762	5174
720	7774	5164
721	7785	5154
722	7795	5142
723	7805	5131
724	7815	5120
725	7825	5109
726	7836	5098
727	7846	5087
728	7857	5076
729	7867	5065
730	7878	5054
731	7888	5043
732	7899	5032
733	7910	5022
734	7921	5011
735	7933	5001
736	7945	4991
737	7956	4981
738	7967	4969
739	7979	4960
740	7990	4949
741	7999	4937
742	8010	4926
743	8021	4916
744	8033	4906
745	8043	4895
746	8055	4885
747	8067	4874
748	8078	4864
749	8090	4854
750	8100	4843
751	8111	4832
752	8123	4822
753	8134	4811
754	8145	4800
755	8156	4790
756	8166	4779
757	8178	4768
758	8190	4758
759	8201	4748
760	8212	4737
761	8224	4727
762	8235	4716
763	8246	4706
764	8256	4694
765	8266	4683
766	8275	4672
767	8286	4661
768	8297	4650
769	8307	4639
770	8319	4629
771	8329	4618
772	8341	4607
773	8352	4597
774	8362	4585
775	8374	4575
776	8385	4565
777	8396	4554
778	8408	4544
779	8417	4532
780	8429	4522
781	8441	4512
